,PARK_NO,PARK_NAME,ITEM_ID,ITEM_TYPE,DESCRIPTION,EASTING,NORTHING,ORIG_FID,LONGITUDE,LATITUDE,FIXED
0,D0373,BRISBANE CORSO PARK,179665,BBQ,,"501,887.37","6,957,612.16",141829095,153.0191091,-27.50515387,
1,D1821,NELSON PLACE PARK,161788,BBQ,,"500,234.35","6,965,788.85",141829095,153.00237109999998,-27.43133607,
2,D0338,JINDALEE BOAT RAMP PARK,181603,BBQ,,492890.13899999997,"6,954,802.743",141829095,152.927998,-27.53049975,
3,D0127,SEDGLEY PARK,182080,BBQ,,"500,490.5","6,966,115.71",141829095,153.0049627,-27.428385100000003,
4,D0338,JINDALEE BOAT RAMP PARK,181604,BBQ,,"492,989.27","6,954,746.996",141829095,152.9290016,-27.53100355,
5,D2672,BULIMBA RIVERSIDE PARK,181581,BBQ,,"505,302.09","6,963,274.09",141829095,153.05365749999999,-27.45402907,
6,D1120,STRETTON COMMUNITY PARK,132225,BBQ,,"506,768.11","6,945,154.77",141829095,153.06859519999998,-27.61760193,
7,D0316,DUNLOP PARK,179637,BBQ,,"498,122.87","6,953,022.84",141829095,152.9809874,-27.54658588,
8,D0801,BELDALE PARK,178988,BBQ,,"506,105.87","6,947,277",141829095,153.06187260000002,-27.59844601,
9,D0338,JINDALEE BOAT RAMP PARK,181602,BBQ,,"492,988.836","6,954,858.057",141829095,152.9289979,-27.530000899999997,
10,D0373,BRISBANE CORSO PARK,179664,BBQ,,"501,757.95","6,957,582.98",141829095,153.0177988,-27.50541748,
11,D0975,FRED FRANCIS PARK,161781,BBQ,,"504,350.42","6,978,413.55",141829095,153.04397240000003,-27.31735195,
12,D0696,A.R.C.HILL PARK,180445,BBQ,,"505,541.54","6,970,856.28",141829095,153.05604619999997,-27.38557573,
13,D0911,ANNA SMITH OBE QUOTA PARK,104238,BBQ,base no bbq,"510,593.87","6,957,526.72",141829095,153.1072608,-27.50588518,BASE ONLY
14,D0658,KIANAWAH ROAD PARK (NO.330),180003,BBQ,BBQ Electric,"514,475.85","6,962,895.11",141829095,153.1465008,-27.4573838,ELECTRIC
